,kokugo,shakai,sugaku,rika,ongaku,bijutu,taiiku,gika,eigo,dai1,dai2,dai3,dai4
0,30,43,51,63,60,66,37,44,20,0,0,1,0
1,39,21,49,56,70,72,56,63,16,0,1,0,0
2,29,30,23,57,69,76,33,54,6,0,0,1,0
3,95,87,77,100,77,82,78,96,87,1,0,0,0
4,70,71,78,67,72,82,46,63,44,0,0,1,0
5,67,53,56,61,61,76,70,66,40,0,1,0,0
6,29,26,44,52,37,68,33,43,13,0,0,1,0
7,56,54,37,59,35,64,53,67,7,0,1,0,0
8,45,21,7,44,16,52,34,46,3,0,0,1,0
9,68,41,29,81,55,71,29,72,51,0,0,0,1
10,50,43,80,73,35,50,42,65,10,0,0,1,0
11,70,61,61,71,55,56,35,67,33,0,0,1,0
12,46,37,36,56,27,70,36,45,26,0,0,1,0
13,23,24,20,36,13,44,45,48,10,0,0,1,0
14,77,54,58,84,57,77,58,88,57,1,0,0,0
15,15,8,22,29,29,15,2,17,4,0,0,1,0
16,37,23,23,32,13,58,9,55,10,0,0,1,0
17,55,42,85,86,89,77,55,68,80,1,0,0,0
18,0,5,0,24,14,45,18,6,5,0,0,1,0
19,35,48,24,42,18,44,23,39,10,0,0,1,0
20,60,80,64,72,54,59,37,57,64,0,0,0,1
21,70,52,75,60,51,74,30,70,74,0,0,0,1
22,82,84,86,88,60,70,45,99,88,0,0,0,1
23,44,22,18,13,25,46,11,22,3,0,0,1,0
24,54,14,33,43,12,52,19,61,15,0,0,1,0
25,80,63,59,73,60,81,42,68,82,0,0,0,1
26,46,47,72,56,34,71,23,46,49,0,0,1,0
27,48,63,72,83,64,62,56,52,67,1,0,0,0
28,51,41,63,60,75,41,45,41,42,0,0,1,0
29,37,18,38,51,47,51,26,35,1,0,0,1,0
30,31,29,28,36,30,32,30,7,21,0,0,1,0
31,35,52,40,65,49,54,37,33,45,0,0,1,0
32,50,41,50,64,60,67,33,60,36,0,0,1,0
33,33,28,65,43,30,62,38,33,20,0,0,1,0
34,27,20,17,29,10,43,16,58,0,0,0,1,0
35,36,27,62,58,41,76,49,49,66,0,0,0,1
36,77,70,91,72,35,53,36,49,70,0,0,0,1
37,61,49,71,71,67,86,62,52,71,1,0,0,0
38,84,90,87,100,93,75,54,100,90,1,0,0,0
39,78,43,59,55,61,57,46,44,71,0,0,0,1
40,7,17,18,27,9,45,12,18,3,0,0,1,0
41,57,32,36,55,50,68,19,38,15,0,0,1,0
42,60,60,85,66,35,59,7,52,41,0,0,1,0
43,17,19,25,28,9,78,20,9,0,0,0,1,0
44,82,86,75,84,74,69,55,61,61,1,0,0,0
45,37,36,45,41,30,77,40,40,42,0,0,1,0
46,40,27,35,45,10,44,19,62,2,0,0,1,0
47,72,73,94,96,77,69,39,74,99,0,0,0,1
48,74,63,79,69,52,84,45,50,45,0,0,1,0
49,87,85,84,93,83,79,75,73,77,1,0,0,0
50,66,34,57,50,49,87,46,51,27,0,0,1,0
51,90,68,64,78,71,86,32,68,66,0,0,0,1
52,43,19,29,35,23,42,19,31,12,0,0,1,0
53,24,15,1,17,13,39,25,11,0,0,0,1,0
54,41,34,28,43,27,53,55,55,18,0,1,0,0
