,PC1,seiseki...c.6..,,
1,0.009066026,66,,0.672175594
2,-0.523118661,72,,
3,-1.040770017,76,,
4,3.90526384,82,,
5,2.210045012,82,,
6,1.120320258,76,,
7,-0.822659506,68,,
8,0.462878035,64,,
9,-1.53878307,52,,
10,0.775366887,71,,
11,1.2845122,50,,
12,1.717037427,56,,
13,-0.254701135,70,,
14,-1.875753903,44,,
15,1.951445548,77,,
16,-2.558432445,15,,
17,-1.623309529,58,,
18,1.782170187,77,,
19,-3.532355008,45,,
20,-0.814435361,44,,
21,2.034011548,59,,
22,1.529863577,74,,
23,3.447184098,70,,
24,-2.045646926,46,,
25,-0.995592886,52,,
26,1.991932804,81,,
27,0.723892441,71,,
28,1.789191421,62,,
29,0.601186389,41,,
30,-0.983526237,51,,
31,-1.415338501,32,,
32,0.155097832,54,,
33,0.406534086,67,,
34,-0.468059041,62,,
35,-2.110262356,43,,
36,-0.131725136,76,,
37,2.726803924,53,,
38,1.437996941,86,,
39,3.939305843,75,,
40,1.044694075,57,,
41,-2.650527382,45,,
42,-0.154415527,68,,
43,1.847320259,59,,
44,-2.214234025,78,,
45,3.173770319,69,,
46,-0.64786155,77,,
47,-0.906787168,44,,
48,3.318360951,69,,
49,2.175864295,84,,
50,3.658880353,79,,
51,0.405492454,87,,
52,2.553363722,86,,
53,-1.391480714,42,,
54,-2.909166963,39,,
55,-0.90933422,53,,
56,-1.295404117,56,,
57,-0.699750362,79,,
58,-2.313088893,24,,
59,2.466625887,78,,
60,3.270265883,98,,
61,0.362057178,41,,
62,1.34503951,54,,
63,2.346428065,66,,
64,1.348457357,71,,
65,-0.334019985,50,,
66,0.103509796,62,,
67,-1.98001256,38,,
68,2.172718698,81,,
69,1.418674758,53,,
70,0.226658461,71,,
71,-2.301413996,34,,
72,-1.539067887,35,,
73,-1.775941774,55,,
74,-1.808468359,35,,
75,3.21232523,53,,
76,-2.170724067,49,,
77,0.114771856,70,,
78,-0.993615029,58,,
79,-1.22869729,49,,
80,0.130685846,83,,
81,-1.216271924,66,,
82,-0.869004286,58,,
83,3.387537978,95,,
84,-0.163801757,75,,
85,-1.64868443,59,,
86,-1.789547355,52,,
87,-0.820392398,69,,
88,-0.531037283,72,,
89,-1.855687417,46,,
90,-1.11723965,67,,
91,2.188338349,86,,
92,-0.074802031,73,,
93,-0.400316797,72,,
94,0.861296313,80,,
95,1.50848429,99,,
96,-0.105500253,76,,
97,3.144758045,84,,
98,-1.285515499,69,,
99,-1.683224338,61,,
100,-0.109349765,65,,
101,2.123305482,75,,
102,-1.679400476,65,,
103,-1.849692127,56,,
104,-2.001754264,54,,
105,-2.450011461,59,,
106,0.31425032,46,,
107,1.865272001,74,,
108,-2.78010643,31,,
109,-1.554189017,64,,
110,0.317747757,43,,
111,2.404882276,97,,
112,0.681068268,54,,
113,-0.057895228,55,,
114,-2.658032435,24,,
115,0.871649325,88,,
116,3.183172983,80,,
117,1.415005606,80,,
118,0.739100168,65,,
119,-2.057924458,46,,
120,-0.784975258,82,,
121,-0.544217257,73,,
122,1.364157476,67,,
123,0.925251467,84,,
124,-0.459902666,65,,
125,-3.283652771,20,,
126,-1.184533495,55,,
127,0.142153476,85,,
128,2.356246435,76,,
129,1.218995075,84,,
130,-0.802414699,68,,
131,2.041101899,96,,
132,-0.606081321,59,,
133,1.436143807,71,,
134,-3.554002678,18,,
135,-2.778574886,37,,
136,1.079644342,69,,
137,-1.21430824,68,,
138,0.013985389,56,,
139,0.971240232,80,,
140,-2.044590863,32,,
141,1.171462728,78,,
142,-1.051376543,67,,
143,-0.987941293,42,,
144,-0.978751718,66,,
145,-2.570759958,54,,
146,-1.384069117,59,,
147,-2.010859802,41,,
148,1.315414699,74,,
149,-0.257774221,52,,
150,-1.350954292,76,,
151,1.693112653,80,,
152,-2.665837481,48,,
153,-1.833441203,42,,
154,-2.631855422,54,,
155,2.477920852,78,,
156,3.458207419,74,,
157,-0.244028704,75,,
158,0.051031487,55,,
159,-1.83431891,40,,
160,0.818851502,55,,
161,-0.056054914,67,,
162,3.180871143,69,,
163,-3.775323295,18,,
164,-1.441295988,57,,
165,-0.225880168,64,,
166,2.85690731,79,,
