,PC1,seiseki...c.5..,,
1,0.009066026,60,,
2,-0.523118661,70,,0.823854672
3,-1.040770017,69,,
4,3.90526384,77,,
5,2.210045012,72,,
6,1.120320258,61,,
7,-0.822659506,37,,
8,0.462878035,35,,
9,-1.53878307,16,,
10,0.775366887,55,,
11,1.2845122,35,,
12,1.717037427,55,,
13,-0.254701135,27,,
14,-1.875753903,13,,
15,1.951445548,57,,
16,-2.558432445,29,,
17,-1.623309529,13,,
18,1.782170187,89,,
19,-3.532355008,14,,
20,-0.814435361,18,,
21,2.034011548,54,,
22,1.529863577,51,,
23,3.447184098,60,,
24,-2.045646926,25,,
25,-0.995592886,12,,
26,1.991932804,60,,
27,0.723892441,34,,
28,1.789191421,64,,
29,0.601186389,75,,
30,-0.983526237,47,,
31,-1.415338501,30,,
32,0.155097832,49,,
33,0.406534086,60,,
34,-0.468059041,30,,
35,-2.110262356,10,,
36,-0.131725136,41,,
37,2.726803924,35,,
38,1.437996941,67,,
39,3.939305843,93,,
40,1.044694075,61,,
41,-2.650527382,9,,
42,-0.154415527,50,,
43,1.847320259,35,,
44,-2.214234025,9,,
45,3.173770319,74,,
46,-0.64786155,30,,
47,-0.906787168,10,,
48,3.318360951,77,,
49,2.175864295,52,,
50,3.658880353,83,,
51,0.405492454,49,,
52,2.553363722,71,,
53,-1.391480714,23,,
54,-2.909166963,13,,
55,-0.90933422,27,,
56,-1.295404117,38,,
57,-0.699750362,56,,
58,-2.313088893,3,,
59,2.466625887,96,,
60,3.270265883,85,,
61,0.362057178,36,,
62,1.34503951,36,,
63,2.346428065,73,,
64,1.348457357,52,,
65,-0.334019985,14,,
66,0.103509796,37,,
67,-1.98001256,38,,
68,2.172718698,49,,
69,1.418674758,31,,
70,0.226658461,46,,
71,-2.301413996,20,,
72,-1.539067887,25,,
73,-1.775941774,18,,
74,-1.808468359,11,,
75,3.21232523,67,,
76,-2.170724067,38,,
77,0.114771856,45,,
78,-0.993615029,45,,
79,-1.22869729,33,,
80,0.130685846,27,,
81,-1.216271924,30,,
82,-0.869004286,19,,
83,3.387537978,62,,
84,-0.163801757,48,,
85,-1.64868443,32,,
86,-1.789547355,20,,
87,-0.820392398,36,,
88,-0.531037283,39,,
89,-1.855687417,25,,
90,-1.11723965,39,,
91,2.188338349,48,,
92,-0.074802031,36,,
93,-0.400316797,60,,
94,0.861296313,54,,
95,1.50848429,81,,
96,-0.105500253,44,,
97,3.144758045,60,,
98,-1.285515499,29,,
99,-1.683224338,7,,
100,-0.109349765,38,,
101,2.123305482,76,,
102,-1.679400476,26,,
103,-1.849692127,27,,
104,-2.001754264,21,,
105,-2.450011461,2,,
106,0.31425032,52,,
107,1.865272001,34,,
108,-2.78010643,2,,
109,-1.554189017,10,,
110,0.317747757,56,,
111,2.404882276,78,,
112,0.681068268,63,,
113,-0.057895228,20,,
114,-2.658032435,7,,
115,0.871649325,45,,
116,3.183172983,85,,
117,1.415005606,61,,
118,0.739100168,47,,
119,-2.057924458,42,,
120,-0.784975258,43,,
121,-0.544217257,28,,
122,1.364157476,46,,
123,0.925251467,50,,
124,-0.459902666,57,,
125,-3.283652771,6,,
126,-1.184533495,26,,
127,0.142153476,42,,
128,2.356246435,80,,
129,1.218995075,76,,
130,-0.802414699,53,,
131,2.041101899,69,,
132,-0.606081321,57,,
133,1.436143807,58,,
134,-3.554002678,19,,
135,-2.778574886,15,,
136,1.079644342,54,,
137,-1.21430824,40,,
138,0.013985389,16,,
139,0.971240232,55,,
140,-2.044590863,15,,
141,1.171462728,63,,
142,-1.051376543,47,,
143,-0.987941293,32,,
144,-0.978751718,44,,
145,-2.570759958,8,,
146,-1.384069117,39,,
147,-2.010859802,6,,
148,1.315414699,70,,
149,-0.257774221,37,,
150,-1.350954292,24,,
151,1.693112653,67,,
152,-2.665837481,10,,
153,-1.833441203,10,,
154,-2.631855422,10,,
155,2.477920852,85,,
156,3.458207419,96,,
157,-0.244028704,50,,
158,0.051031487,43,,
159,-1.83431891,11,,
160,0.818851502,53,,
161,-0.056054914,34,,
162,3.180871143,80,,
163,-3.775323295,5,,
164,-1.441295988,31,,
165,-0.225880168,59,,
166,2.85690731,56,,
