,PC2,seiseki...c.7..,,
1,-1.158313762,37,,0.435605185
2,-0.7184787,56,,
3,-0.623474822,33,,
4,0.201327019,78,,
5,-0.157285236,46,,
6,0.184281236,70,,
7,-0.909877884,33,,
8,0.153931769,53,,
9,0.470803767,34,,
10,0.285276014,29,,
11,-1.120999044,42,,
12,0.039225793,35,,
13,-0.187165532,36,,
14,-0.410439579,45,,
15,0.084899444,58,,
16,-0.652068886,2,,
17,0.126404896,9,,
18,-1.27374196,55,,
19,-0.731241516,18,,
20,-0.086114738,23,,
21,-0.349641719,37,,
22,-0.023746782,30,,
23,-0.217877089,45,,
24,0.830238424,11,,
25,0.344370914,19,,
26,0.411098106,42,,
27,-0.794441638,23,,
28,-1.188543831,56,,
29,-0.543492288,45,,
30,-0.511816883,26,,
31,-0.24255063,30,,
32,-0.793136134,37,,
33,-0.42702584,33,,
34,-0.956428219,38,,
35,-0.088218772,16,,
36,-1.079850522,49,,
37,-0.225634637,36,,
38,-0.50205759,62,,
39,-0.372699923,54,,
40,0.623678418,46,,
41,-0.814242699,12,,
42,0.224045971,19,,
43,-0.660895175,7,,
44,-0.582081238,20,,
45,0.057329371,55,,
46,-0.396419956,40,,
47,-0.209863015,19,,
48,-0.909687467,39,,
49,-0.08710329,45,,
50,-0.090121107,75,,
51,0.28620781,46,,
52,0.610921653,32,,
53,0.174247586,19,,
54,0.296876093,25,,
55,0.007514433,55,,
56,-0.022488587,58,,
57,-0.859942959,32,,
58,0.07063261,10,,
59,0.632098455,53,,
60,-0.64240587,50,,
61,0.056450465,34,,
62,-0.13226845,48,,
63,-1.023265057,25,,
64,-1.148555412,31,,
65,0.154546968,17,,
66,0.241305615,32,,
67,-0.545869239,34,,
68,-0.002652036,50,,
69,0.561915566,10,,
70,-0.21430625,40,,
71,-0.99773925,11,,
72,-0.094241036,25,,
73,-0.475572668,14,,
74,0.045383634,9,,
75,-0.617257408,35,,
76,-0.920393041,16,,
77,0.33246387,37,,
78,-0.18590018,30,,
79,0.027870494,11,,
80,1.010725703,96,,
81,-0.373662738,96,,
82,0.461923084,65,,
83,0.414840922,86,,
84,0.25249136,61,,
85,0.0446576,76,,
86,0.768726756,62,,
87,0.063407152,81,,
88,0.384656935,76,,
89,-0.005411867,65,,
90,0.533026284,78,,
91,0.017994508,76,,
92,0.723767177,91,,
93,0.959191832,86,,
94,0.640570773,87,,
95,0.566677748,93,,
96,1.217213141,76,,
97,0.399562142,95,,
98,-0.571752796,78,,
99,0.301682309,87,,
100,0.60624112,87,,
101,0.145871846,89,,
102,0.71247964,77,,
103,0.083428157,69,,
104,-0.029957131,78,,
105,-0.513484443,74,,
106,0.324816304,85,,
107,0.121955893,78,,
108,-0.052075996,63,,
109,0.569751489,88,,
110,-0.962525808,76,,
111,0.017690248,83,,
112,0.229851099,82,,
113,-0.45121321,75,,
114,0.448016291,57,,
115,1.292276628,85,,
116,0.320306604,89,,
117,0.129189896,97,,
118,0.561433651,97,,
119,-0.447702106,74,,
120,-0.152177608,86,,
121,-0.317702276,79,,
122,0.2354279,76,,
123,0.064087562,96,,
124,0.634256211,83,,
125,-0.341033843,43,,
126,0.344149633,82,,
127,0.663109041,86,,
128,-0.065948791,96,,
129,-0.462860545,70,,
130,1.230251328,99,,
131,0.654925431,82,,
132,-0.793135598,89,,
133,0.959669975,83,,
134,-0.414439166,37,,
135,0.002457568,70,,
136,-0.053217215,78,,
137,0.666632481,64,,
138,0.985406653,69,,
139,0.916816923,86,,
140,0.506589259,58,,
141,0.735658521,84,,
142,-0.342022415,88,,
143,-0.039492313,67,,
144,0.471527489,77,,
145,0.121229079,77,,
146,0.937428476,85,,
147,-0.191159848,48,,
148,0.504649601,84,,
149,0.252694183,75,,
150,0.914506792,91,,
151,-0.068330049,86,,
152,-0.245368382,62,,
153,-0.189288024,59,,
154,0.322076726,53,,
155,-0.152591333,91,,
156,-0.078850955,91,,
157,-0.128243197,88,,
158,0.378924232,93,,
159,0.410769355,91,,
160,-0.069392061,95,,
161,0.650520126,71,,
162,-0.128527649,83,,
163,-0.474001668,42,,
164,0.47569583,68,,
165,1.124276845,82,,
166,-0.928303327,81,,
